time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
13015	50	0	149	0	0
26033	50	0	111	0	0
38075	50	0	121	119	2
50936	50	0	116	101	2
63422	50	0	144	140	5
75893	50	0	159	157	2
87926	50	0	154	152	1
99963	50	0	62	62	1
113097	50	0	134	67	1
126109	50	0	119	78	1
138240	50	0	51	48	1
151022	50	0	122	119	2
163049	50	0	121	120	2
175077	50	0	113	112	2
187125	50	0	114	109	2
199147	50	0	34	34	2
211949	50	0	40	39	1
223968	50	0	43	43	2
236887	50	0	142	86	1
249898	50	0	140	116	6
262881	50	0	170	124	2
275149	50	0	139	130	5
288112	50	0	145	117	1
300147	50	0	130	129	2
313665	50	0	144	104	6
326622	50	0	163	144	2
339216	50	0	150	140	2
352007	50	0	157	136	2
365000	50	0	161	145	2
377937	50	0	174	142	2
