station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.342	20	20	11.4147
6	90	300	300.601	20	20	11.509149999999998
6	90	600	451.929	20	3	6.731999999999999
6	90	900	602.968	20	14	10.892214285714285
6	90	1200	753.308	20	20	11.11115
6	90	1500	904.634	20	7	7.530142857142856
6	90	1800	1054.951	20	20	12.4419
6	90	2100	1205.24	20	20	11.71955
6	90	2400	1356.27	20	8	9.194875
6	90	2700	1506.524	20	20	11.499699999999999
6	90	3000	1657.817	20	4	6.06625
6	90	3300	1808.15	20	20	11.24225
6	90	3600	1958.487	20	20	11.726649999999998
6	90	3900	2109.617	20	4	8.0085
6	90	4200	2259.923	20	20	12.8143
6	90	4500	2410.167	20	20	13.371950000000002
6	90	4800	2561.493	20	2	9.3045
6	90	5100	2711.77	20	20	13.385049999999998
6	90	5400	2862.104	20	17	13.009529411764705
6	90	5700	3012.354	20	20	13.68005
6	90	6000	3162.625	20	20	13.494649999999998
6	90	6300	3313.699	20	4	7.551
6	90	6600	3464.037	20	20	13.0559
6	90	6900	3614.35	20	20	11.113000000000003
