time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32070	50	0	149	149	0
64133	50	0	111	111	0
96247	50	0	121	121	0
128317	50	0	116	116	0
160392	50	0	144	144	0
192467	50	0	159	159	0
224541	50	0	154	154	0
256613	50	0	62	62	0
288719	50	0	134	134	0
320800	50	0	119	119	0
352855	50	0	51	51	0
384937	50	0	122	122	0
416994	50	0	121	121	0
449079	50	0	113	113	0
481131	50	0	114	114	0
513182	50	0	34	34	0
545240	50	0	40	40	1
577303	50	0	43	43	0
609383	50	0	142	142	0
641482	50	0	140	140	0
673595	50	0	170	170	0
705703	50	0	139	139	0
737782	50	0	145	145	0
769853	50	0	130	130	0
801936	50	0	144	144	0
834940	50	0	163	145	0
867650	50	0	150	131	0
900549	50	0	157	132	0
932647	50	0	161	160	0
964728	50	0	174	174	0
