node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	23833	50	0	81.5	8937512	28517	0	0	0	0	1353303	4450	0	0	0	0	200	163	1
50	23851	50	1	69.5	8401185	24353	0	0	0	0	1261241	3801	0	0	0	0	200	139	0
50	24419	50	2	89.0	8694542	27755	0	0	0	0	1292705	4235	0	0	0	0	200	178	1
50	24524	50	3	86.0	9912647	30195	0	0	0	0	1544166	4737	0	0	0	0	200	172	1
50	23968	50	4	91.5	9973598	32136	0	0	0	0	1413745	4526	0	0	0	0	200	183	1
50	24642	50	5	81.5	10266886	30626	0	0	0	0	1472853	4485	0	0	0	0	200	163	1
50	24725	100	0	35.0	12689017	28183	0	0	0	0	1881818	4321	0	0	0	0	200	70	0
50	24585	100	1	67.0	11186695	28855	0	0	0	0	1665492	4306	0	0	0	0	200	134	1
50	24652	100	2	47.0	10773533	26306	0	0	0	0	1645724	4067	0	0	0	0	200	94	0
50	24676	100	3	53.0	10615609	25962	0	0	0	0	1544624	3898	0	0	0	0	200	106	0
50	24403	100	4	32.0	9410856	23173	0	0	0	0	1466137	3640	0	0	0	0	200	64	0
50	23978	100	5	74.5	10713016	30651	0	0	0	0	1632736	4703	0	0	0	0	200	149	1
50	24419	150	0	39.0	11360314	26268	0	0	0	0	1618076	3903	0	0	0	0	200	78	0
50	24706	150	1	25.0	10616526	22349	0	0	0	0	1452417	3297	0	0	0	0	200	50	0
50	23925	150	2	52.0	11524291	27953	0	0	0	0	1549711	4071	0	0	0	0	200	104	1
