node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns
50	13839	50	0	25.153374233128833	25043876	111259	0	0	0	0	3603232	16175	0	0	0	0
50	13347	50	1	13.872832369942195	26240504	109079	0	0	0	0	3879096	16488	0	0	0	0
50	13975	50	2	9.876543209876543	37899796	156633	0	0	0	0	6303800	26491	0	0	0	0
50	13262	50	3	11.904761904761903	35090240	148605	0	0	0	0	5034632	21938	0	0	0	0
50	13559	50	4	7.878787878787878	30382008	127251	0	0	0	0	4513156	19177	0	0	0	0
50	13347	50	5	4.972375690607735	53975504	211035	0	0	0	0	7980296	32479	0	0	0	0
50	13230	100	0	7.784431137724551	23965708	105929	0	0	0	0	3557336	16086	0	0	0	0
50	13308	100	1	3.1446540880503147	33322636	137304	0	0	0	0	4460924	19012	0	0	0	0
50	13288	100	2	3.1446540880503147	30609132	130822	0	0	0	0	4116120	18079	0	0	0	0
50	14172	100	3	2.2988505747126435	33865092	149601	0	0	0	0	5083420	22879	0	0	0	0
50	13327	100	4	5.844155844155844	37370796	158978	0	0	0	0	5100880	22157	0	0	0	0
50	13531	100	5	4.10958904109589	46276844	195706	0	0	0	0	6979588	30034	0	0	0	0
50	13598	150	0	4.444444444444445	36670228	158880	0	0	0	0	5737840	25017	0	0	0	0
50	13540	150	1	1.744186046511628	32575580	142813	0	0	0	0	4956332	21988	0	0	0	0
50	13539	150	2	4.444444444444445	59339784	237328	0	0	0	0	7544016	31104	0	0	0	0
50	13271	150	3	1.4925373134328357	32153588	129464	0	0	0	0	4434972	18380	0	0	0	0
50	13374	150	4	7.246376811594203	43666772	180288	0	0	0	0	6103292	25772	0	0	0	0
50	13581	150	5	8.270676691729323	64221820	249115	0	0	0	0	7991408	31897	0	0	0	0
50	13562	200	0	3.546099290780142	94468708	367516	0	0	0	0	9839552	39522	0	0	0	0
50	13310	200	1	4.716981132075472	85071820	339649	0	0	0	0	7567920	30941	0	0	0	0
50	13277	200	2	4.929577464788732	47704344	184658	0	0	0	0	6302680	25054	0	0	0	0
50	13674	200	3	6.363636363636363	61200720	241872	0	0	0	0	6761736	27344	0	0	0	0
50	13476	200	4	2.097902097902098	33986992	143349	0	0	0	0	3794600	16305	0	0	0	0
50	13583	200	5	4.6875	38805568	156523	0	0	0	0	5176012	21084	0	0	0	0
50	13259	250	0	4.098360655737705	66096068	254728	0	0	0	0	7329772	28773	0	0	0	0
50	13354	250	1	4.320987654320987	25043596	105637	0	0	0	0	3558484	15261	0	0	0	0
50	13528	250	2	4.635761589403973	39140676	162694	0	0	0	0	5273856	22214	0	0	0	0
50	13458	250	3	2.941176470588235	70148876	269056	0	0	0	0	8325544	32595	0	0	0	0
50	14027	250	4	6.306306306306306	57140284	223290	0	0	0	0	7390024	29647	0	0	0	0
50	13329	250	5	1.9230769230769231	48585556	193917	0	0	0	0	6042204	24549	0	0	0	0
50	13724	300	0	3.3783783783783785	37012368	154598	0	0	0	0	4408360	18563	0	0	0	0
50	13780	300	1	3.007518796992481	37671476	159301	0	0	0	0	4580120	19932	0	0	0	0
50	13275	300	2	1.4492753623188406	25538172	108423	0	0	0	0	3654180	15569	0	0	0	0
50	14118	300	3	2.666666666666667	66663012	277299	0	0	0	0	8247028	34667	0	0	0	0
50	13278	300	4	1.2658227848101267	70326848	285030	0	0	0	0	7919688	32400	0	0	0	0
50	13333	300	5	3.1847133757961785	45534096	188383	0	0	0	0	5267860	22088	0	0	0	0
50	13382	350	0	0.6666666666666667	64633480	252771	0	0	0	0	7814988	31264	0	0	0	0
50	13437	350	1	1.282051282051282	24896816	107353	0	0	0	0	3288564	14436	0	0	0	0
50	14099	350	2	2.2058823529411766	42850648	176597	0	0	0	0	5923312	24722	0	0	0	0
50	13829	350	3	3.1746031746031744	38223080	158108	0	0	0	0	5255084	22063	0	0	0	0
50	14479	350	4	2.8368794326241136	78318192	309715	0	0	0	0	9875564	39248	0	0	0	0
50	13535	350	5	3.6764705882352944	58070432	228348	0	0	0	0	7357840	29501	0	0	0	0
50	13401	400	0	6.363636363636363	43598096	176168	0	0	0	0	5165072	21123	0	0	0	0
50	13540	400	1	2.5423728813559325	29481600	127864	0	0	0	0	3618756	16062	0	0	0	0
50	13437	400	2	4.761904761904762	36629520	152000	0	0	0	0	4448400	18701	0	0	0	0
50	13298	400	3	2.7027027027027026	33428792	137723	0	0	0	0	4157172	17362	0	0	0	0
50	13307	400	4	4.545454545454546	40754520	164989	0	0	0	0	4335204	17959	0	0	0	0
50	13311	400	5	3.10077519379845	42152120	171088	0	0	0	0	5136492	21144	0	0	0	0
